document_count,evaluation_method,scoring_type,field_name,stats_name,tp,fp,fn,tn,accuracy,precision,recall,f1,jaccard
10,exact,partial_table,tables,None,0,0,20,0,0.0,0,0.0,0,0.0
10,exact,partial_table,None,micro,None,None,None,None,0.0,0,0.0,0,0.0
10,exact,partial_table,None,macro,None,None,None,None,0.0,0.0,0.0,0.0,0.0
10,levenshtein,partial_table,tables,None,0,0,20,0,0.0,0,0.0,0,0.0
10,levenshtein,partial_table,None,micro,None,None,None,None,0.0,0,0.0,0,0.0
10,levenshtein,partial_table,None,macro,None,None,None,None,0.0,0.0,0.0,0.0,0.0
10,exact,partial_ulist,body_section_labels,None,17,0,2,4061,0.9995098039215686,1.0,0.8947368421052632,0.9444444444444444,0.8947368421052632
10,exact,partial_ulist,body_section_titles,None,61,12,8,3999,0.9950980392156863,0.8356164383561644,0.8840579710144928,0.8591549295774648,0.7530864197530864
10,exact,partial_ulist,body_section_label_titles,None,61,12,8,3999,0.9950980392156863,0.8356164383561644,0.8840579710144928,0.8591549295774648,0.7530864197530864
10,exact,partial_ulist,body_reference_citation_text,None,120,152,8,3800,0.9607843137254902,0.4411764705882353,0.9375,0.6,0.42857142857142855
10,exact,partial_ulist,body_asset_citation_text,None,38,43,3,3996,0.9887254901960785,0.4691358024691358,0.926829268292683,0.6229508196721312,0.4523809523809524
10,exact,partial_ulist,back_section_labels,None,0,0,0,4080,1.0,0,0,0,0
10,exact,partial_ulist,back_section_titles,None,2,6,14,4058,0.9950980392156863,0.25,0.125,0.16666666666666666,0.09090909090909091
10,exact,partial_ulist,back_section_label_titles,None,2,6,14,4058,0.9950980392156863,0.25,0.125,0.16666666666666666,0.09090909090909091
10,exact,partial_ulist,back_section_paragraphs,None,5,4,7,4064,0.9973039215686275,0.5555555555555556,0.4166666666666667,0.4761904761904762,0.3125
10,exact,partial_ulist,reference_text,None,2,187,4,3887,0.953186274509804,0.010582010582010581,0.3333333333333333,0.020512820512820513,0.010362694300518135
10,exact,partial_ulist,reference_author_surnames,None,57,122,1,3900,0.9698529411764706,0.31843575418994413,0.9827586206896551,0.4810126582278481,0.31666666666666665
10,exact,partial_ulist,reference_author_given_names,None,53,127,0,3900,0.9688725490196078,0.29444444444444445,1.0,0.45493562231759654,0.29444444444444445
10,exact,partial_ulist,reference_author_full_names,None,48,132,1,3899,0.9674019607843137,0.26666666666666666,0.9795918367346939,0.4192139737991266,0.26519337016574585
10,exact,partial_ulist,reference_title,None,102,19,7,3952,0.9936274509803922,0.8429752066115702,0.9357798165137615,0.8869565217391305,0.796875
10,exact,partial_ulist,reference_year,None,124,50,2,3904,0.9872549019607844,0.7126436781609196,0.9841269841269841,0.8266666666666668,0.7045454545454546
10,exact,partial_ulist,reference_source,None,119,57,1,3903,0.9857843137254902,0.6761363636363636,0.9916666666666667,0.8040540540540541,0.672316384180791
10,exact,partial_ulist,reference_publication_type,None,125,51,5,3899,0.9862745098039216,0.7102272727272727,0.9615384615384616,0.8169934640522877,0.6906077348066298
10,exact,partial_ulist,reference_volume,None,118,45,2,3915,0.9884803921568628,0.7239263803680982,0.9833333333333333,0.833922261484099,0.7151515151515152
10,exact,partial_ulist,reference_fpage,None,115,52,3,3910,0.9865196078431373,0.688622754491018,0.9745762711864406,0.8070175438596492,0.6764705882352942
10,exact,partial_ulist,reference_lpage,None,33,134,10,3903,0.9647058823529412,0.19760479041916168,0.7674418604651163,0.3142857142857143,0.1864406779661017
10,exact,partial_ulist,reference_doi,None,0,0,0,4080,1.0,0,0,0,0
10,exact,partial_ulist,reference_pmid,None,0,0,106,3974,0.9740196078431372,0,0.0,0,0.0
10,exact,partial_ulist,reference_pmcid,None,0,0,0,4080,1.0,0,0,0,0
10,exact,partial_ulist,all_section_labels,None,17,0,2,4061,0.9995098039215686,1.0,0.8947368421052632,0.9444444444444444,0.8947368421052632
10,exact,partial_ulist,all_section_titles,None,65,16,18,3981,0.9916666666666667,0.8024691358024691,0.7831325301204819,0.7926829268292682,0.6565656565656566
10,exact,partial_ulist,all_section_label_titles,None,65,16,19,3980,0.991421568627451,0.8024691358024691,0.7738095238095238,0.787878787878788,0.65
10,exact,partial_ulist,None,micro,None,None,None,None,0.9859728506787331,0.5204475308641975,0.8462986198243413,0.6445293836598184,0.475502291152626
10,exact,partial_ulist,None,macro,None,None,None,None,0.9859728506787332,0.48785785766260237,0.6746028769122044,0.5340694766518004,0.4348675874429261
10,levenshtein,partial_ulist,body_section_labels,None,17,0,2,3747,0.9994689325544344,1.0,0.8947368421052632,0.9444444444444444,0.8947368421052632
10,levenshtein,partial_ulist,body_section_titles,None,61,12,8,3685,0.9946893255443441,0.8356164383561644,0.8840579710144928,0.8591549295774648,0.7530864197530864
10,levenshtein,partial_ulist,body_section_label_titles,None,61,12,8,3685,0.9946893255443441,0.8356164383561644,0.8840579710144928,0.8591549295774648,0.7530864197530864
10,levenshtein,partial_ulist,body_reference_citation_text,None,122,150,8,3486,0.9580456718003186,0.4485294117647059,0.9384615384615385,0.6069651741293532,0.4357142857142857
10,levenshtein,partial_ulist,body_asset_citation_text,None,49,32,3,3682,0.9907063197026023,0.6049382716049383,0.9423076923076923,0.7368421052631579,0.5833333333333334
10,levenshtein,partial_ulist,back_section_labels,None,0,0,0,3766,1.0,0,0,0,0
10,levenshtein,partial_ulist,back_section_titles,None,3,5,14,3744,0.9949548592671269,0.375,0.17647058823529413,0.24,0.13636363636363635
10,levenshtein,partial_ulist,back_section_label_titles,None,3,5,14,3744,0.9949548592671269,0.375,0.17647058823529413,0.24,0.13636363636363635
10,levenshtein,partial_ulist,back_section_paragraphs,None,8,1,7,3750,0.9978757302177377,0.8888888888888888,0.5333333333333333,0.6666666666666667,0.5
10,levenshtein,partial_ulist,reference_text,None,148,41,4,3573,0.9880509824747743,0.783068783068783,0.9736842105263158,0.8680351906158358,0.7668393782383419
10,levenshtein,partial_ulist,reference_author_surnames,None,115,64,0,3587,0.9830058417419012,0.6424581005586593,1.0,0.7823129251700681,0.6424581005586593
10,levenshtein,partial_ulist,reference_author_given_names,None,59,121,0,3586,0.967870419543282,0.3277777777777778,1.0,0.49372384937238495,0.3277777777777778
10,levenshtein,partial_ulist,reference_author_full_names,None,103,77,1,3585,0.9792883696229421,0.5722222222222222,0.9903846153846154,0.7253521126760564,0.569060773480663
10,levenshtein,partial_ulist,reference_title,None,114,7,4,3641,0.9970791290493892,0.9421487603305785,0.9661016949152542,0.9539748953974895,0.912
10,levenshtein,partial_ulist,reference_year,None,124,50,2,3590,0.9861922464152948,0.7126436781609196,0.9841269841269841,0.8266666666666668,0.7045454545454546
