document_count,evaluation_method,scoring_type,field_name,stats_name,tp,fp,fn,tn,accuracy,precision,recall,f1,jaccard
10,exact,partial_ulist,back_section_paragraphs,None,0,0,16,3817,0.9958257239759979,0,0.0,0,0.0
10,exact,partial_ulist,reference_text,None,0,177,3,3653,0.9530393947299766,0.0,0.0,0,0.0
10,exact,partial_ulist,reference_author_surnames,None,46,129,3,3655,0.9655622228019828,0.26285714285714284,0.9387755102040817,0.4107142857142857,0.25842696629213485
10,exact,partial_ulist,reference_author_given_names,None,51,120,5,3657,0.9673884685624837,0.2982456140350877,0.9107142857142857,0.44933920704845814,0.2897727272727273
10,exact,partial_ulist,reference_author_full_names,None,44,131,3,3655,0.9650404382989826,0.25142857142857145,0.9361702127659575,0.39639639639639646,0.24719101123595505
10,exact,partial_ulist,reference_title,None,106,21,2,3704,0.993999478215497,0.8346456692913385,0.9814814814814815,0.902127659574468,0.8217054263565892
10,exact,partial_ulist,reference_year,None,125,52,3,3653,0.9856509261674928,0.7062146892655368,0.9765625,0.819672131147541,0.6944444444444444
10,exact,partial_ulist,reference_source,None,115,50,8,3660,0.9848682494129924,0.696969696969697,0.9349593495934959,0.7986111111111112,0.6647398843930635
10,exact,partial_ulist,reference_publication_type,None,0,0,180,3653,0.9530393947299766,0,0.0,0,0.0
10,exact,partial_ulist,reference_volume,None,116,45,3,3669,0.9874771719279938,0.7204968944099379,0.9747899159663865,0.8285714285714285,0.7073170731707317
10,exact,partial_ulist,reference_fpage,None,119,51,3,3660,0.985911818418993,0.7,0.9754098360655737,0.8150684931506849,0.6878612716763006
10,exact,partial_ulist,reference_lpage,None,120,50,3,3660,0.9861727106704931,0.7058823529411765,0.975609756097561,0.8191126279863481,0.6936416184971098
10,exact,partial_ulist,reference_doi,None,0,0,0,3833,1.0,0,0,0,0
10,exact,partial_ulist,reference_pmid,None,0,0,106,3727,0.9723454213409862,0,0.0,0,0.0
10,exact,partial_ulist,reference_pmcid,None,0,0,0,3833,1.0,0,0,0,0
10,exact,partial_ulist,all_section_labels,None,0,0,19,3814,0.9950430472214975,0,0.0,0,0.0
10,exact,partial_ulist,all_section_titles,None,53,30,21,3729,0.9866944951734934,0.6385542168674698,0.7162162162162162,0.6751592356687898,0.5096153846153846
10,exact,partial_ulist,all_section_label_titles,None,65,18,21,3729,0.989825202191495,0.7831325301204819,0.7558139534883721,0.7692307692307692,0.625
10,exact,partial_ulist,None,micro,None,None,None,None,0.9833932047602801,0.5284664830119375,0.6469926925238898,0.5817538539297448,0.41019244476122596
10,exact,partial_ulist,None,macro,None,None,None,None,0.9833932047602805,0.3222609524146538,0.4735045847047697,0.37149762044402823,0.2968333585418908
10,levenshtein,partial_ulist,body_section_labels,None,0,0,19,3473,0.9945589919816724,0,0.0,0,0.0
10,levenshtein,partial_ulist,body_section_titles,None,55,28,8,3401,0.9896907216494846,0.6626506024096386,0.873015873015873,0.7534246575342466,0.6043956043956044
10,levenshtein,partial_ulist,body_section_label_titles,None,61,22,8,3401,0.9914089347079038,0.7349397590361446,0.8840579710144928,0.8026315789473685,0.6703296703296703
10,levenshtein,partial_ulist,body_reference_citation_text,None,82,96,84,3230,0.9484536082474226,0.4606741573033708,0.4939759036144578,0.47674418604651164,0.31297709923664124
10,levenshtein,partial_ulist,body_asset_citation_text,None,0,0,76,3416,0.9782359679266895,0,0.0,0,0.0
10,levenshtein,partial_ulist,back_section_labels,None,0,0,0,3492,1.0,0,0,0,0
10,levenshtein,partial_ulist,back_section_titles,None,0,0,17,3475,0.9951317296678122,0,0.0,0,0.0
10,levenshtein,partial_ulist,back_section_label_titles,None,0,0,17,3475,0.9951317296678122,0,0.0,0,0.0
10,levenshtein,partial_ulist,back_section_paragraphs,None,0,0,16,3476,0.995418098510882,0,0.0,0,0.0
10,levenshtein,partial_ulist,reference_text,None,169,8,3,3312,0.9968499427262314,0.9548022598870056,0.9825581395348837,0.9684813753581661,0.9388888888888889
10,levenshtein,partial_ulist,reference_author_surnames,None,114,61,3,3314,0.981672394043528,0.6514285714285715,0.9743589743589743,0.7808219178082192,0.6404494382022472
10,levenshtein,partial_ulist,reference_author_given_names,None,59,112,5,3316,0.9664948453608248,0.34502923976608185,0.921875,0.502127659574468,0.3352272727272727
10,levenshtein,partial_ulist,reference_author_full_names,None,116,59,3,3314,0.9822451317296678,0.6628571428571428,0.9747899159663865,0.7891156462585034,0.651685393258427
10,levenshtein,partial_ulist,reference_title,None,117,10,2,3363,0.9965635738831615,0.9212598425196851,0.9831932773109243,0.9512195121951219,0.9069767441860465
10,levenshtein,partial_ulist,reference_year,None,125,52,3,3312,0.9842497136311569,0.7062146892655368,0.9765625,0.819672131147541,0.6944444444444444
10,levenshtein,partial_ulist,reference_source,None,115,50,8,3319,0.9833906071019473,0.696969696969697,0.9349593495934959,0.7986111111111112,0.6647398843930635
10,levenshtein,partial_ulist,reference_publication_type,None,0,0,180,3312,0.9484536082474226,0,0.0,0,0.0
10,levenshtein,partial_ulist,reference_volume,None,116,45,3,3328,0.9862542955326461,0.7204968944099379,0.9747899159663865,0.8285714285714285,0.7073170731707317
10,levenshtein,partial_ulist,reference_fpage,None,119,51,3,3319,0.9845360824742269,0.7,0.9754098360655737,0.8150684931506849,0.6878612716763006
10,levenshtein,partial_ulist,reference_lpage,None,120,50,3,3319,0.9848224513172967,0.7058823529411765,0.975609756097561,0.8191126279863481,0.6936416184971098
10,levenshtein,partial_ulist,reference_doi,None,0,0,0,3492,1.0,0,0,0,0
10,levenshtein,partial_ulist,reference_pmid,None,0,0,106,3386,0.9696449026345934,0,0.0,0,0.0
10,levenshtein,partial_ulist,reference_pmcid,None,0,0,0,3492,1.0,0,0,0,0
10,levenshtein,partial_ulist,all_section_labels,None,0,0,19,3473,0.9945589919816724,0,0.0,0,0.0
10,levenshtein,partial_ulist,all_section_titles,None,59,24,21,3388,0.9871134020618557,0.7108433734939759,0.7375,0.7239263803680982,0.5673076923076923
10,levenshtein,partial_ulist,all_section_label_titles,None,65,18,21,3388,0.988831615120275,0.7831325301204819,0.7558139534883721,0.7692307692307692,0.625
10,levenshtein,partial_ulist,None,micro,None,None,None,None,0.9855273592386995,0.6850321395775941,0.7037735849056603,0.6942764076314566,0.5317177476835353
